CONS,BOOTH,INC2009,BJP2009,CPI2009,INC2014,BJP2014,CPI2014,INC2016,BJP2016,CPI2016,Total2009,Total2014,Total2016,BOOTHNAME
KOVALAM,1,271,28,199,329,129,259,344,141,310,681,740,815,"L M S Lower Primary School, Muttakkadu"
KOVALAM,2,262,55,143,219,299,163,190,348,240,614,712,818,"S N Upper Primary School, Kattachalkuzhi"
KOVALAM,3,324,94,161,250,335,188,323,385,232,676,788,964,"S N  Upper Primary School, Kattachalkuzhi"
KOVALAM,4,297,88,125,328,304,197,441,297,266,706,845,1034,"L M S Lower Primary School, Mangalathukonam (West Portion)"
KOVALAM,5,265,58,245,226,277,261,238,323,320,714,788,907,"L M S Lower Primary School, Mangalathukonam (East Portion)"
KOVALAM,6,285,11,68,330,95,307,361,50,401,670,751,833,"Govt. Lower Primary School, Nellivila (North Building North Portion)"
KOVALAM,7,325,72,298,407,307,440,440,300,449,994,1195,1241,"St. Joseph Upper Primary School, Venniyoor"
KOVALAM,8,280,27,142,392,151,325,389,140,509,790,916,1075,"St. Joseph Upper Primary School, Venniyoor"
KOVALAM,9,314,53,170,238,423,245,294,384,364,733,939,1075,"Govt. Lower Primary School, Nellivila (North Building South Portion)"
KOVALAM,10,321,48,142,292,365,227,295,344,362,739,916,1041,"Govt. High School, Venganoor"
KOVALAM,11,241,26,236,252,173,287,265,213,300,636,743,799,"Govt. High School, Venganoor(North Portion)"
KOVALAM,12,159,46,116,164,183,127,155,190,192,381,495,556,"Govt. High School, Venganoor (Middle Building)"
KOVALAM,13,164,90,131,172,242,145,115,363,190,469,595,698,"L M S Lower Primary School, Muttakkad"
KOVALAM,14,292,102,168,222,377,244,325,356,354,696,868,1062,"Bethlahem Primary School, Azhakulam"
KOVALAM,15,205,74,159,257,270,237,299,255,299,571,796,873,Anganwadi Thozhichal
KOVALAM,16,242,85,188,287,257,233,310,317,257,662,802,903,"Govt. High School, Venganoor (East Building)"
KOVALAM,17,263,104,264,318,309,309,291,362,432,835,970,1127,"Govt. High School, Venganoor (East Building,North Portion)"
KOVALAM,18,428,18,81,534,171,338,582,118,417,884,1061,1132,S F S H S S Kalluvettankuzhi
KOVALAM,19,218,116,135,287,362,211,325,391,274,540,886,1029,"Lower Primary School, Muttakkad (Old Building North Portion)"
KOVALAM,20,271,211,212,212,443,262,244,472,336,903,950,1102,"Lower Primary School, Muttakkad (New Building North Portion)"
KOVALAM,21,259,106,200,256,331,220,269,336,283,654,839,914,"Lower Primary School, Muttakkad (New BuildingSouth Portion)"
KOVALAM,22,273,53,221,237,248,218,266,257,301,638,727,847,"St. Joseph Upper Primary School, Venniyoor"
KOVALAM,23,226,72,167,306,326,290,312,262,444,801,951,1055,"St. Joseph Upper Primary School, Venniyoor (South Portion)"
